ASPATRIA BRAYTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY166426,Long,-3.297926,Lat,54.771366,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,0.8,1,2.92,3.7,1.7,2.64,3.47,,,,,2.09,2.57,1.18,4.19,2.18,1.68,1.06,6.22,6.16,5.99,2.2,1.75,,2.84,2.31,5.4,,4.31,4.31,3.63,1.18,1.74,2.33,3.23,,,,,
February,2.7,1.8,2.6,2.12,3.1,3.6,1.74,,,,,0.27,2.62,6.22,6.93,0.2,2.1,2.62,3.89,3.46,4.4,1.14,0.77,,2.95,1.86,2.11,,3.24,1.61,5.66,4.46,2.17,2.48,4.51,,,,,
March,1.6,2.4,2.75,1.12,2.15,1.4,3.68,,,,2.54,1.34,1.56,2.27,3.61,4.36,6.9,5.26,2.04,3.27,0.51,2.43,1.45,,3.05,3.55,2.38,,3.52,4.67,2.74,0.68,4.54,4.32,3.67,,,,,
April,2.1,0.9,3.38,1.72,1.7,2.81,2.7,,,,1.04,0.7,1.2,1,3.02,2.09,2.66,2.53,2.97,3.28,2.79,2.3,1.29,,2.52,3.36,0.68,,2.2,2.75,3.22,4.29,0.99,3.42,0.96,,,,,
May,0.9,2.3,1.45,1.15,0.75,3.5,4.75,,,,3.12,2.31,3.9,3.21,4.59,1.36,0.67,3.19,3.35,4.52,2.68,1.41,1.54,,2.52,2.75,4.33,,2.94,1.2,2.36,2.53,1.94,2.29,2.69,,,,,
June,2.5,3.9,3.05,2,2,0.9,1.09,,,,3.89,0.97,4.05,2.94,5.07,1.15,3.72,3.13,3.87,3.55,2.06,2.2,1.4,,2.27,1.92,1.77,,2.51,2.17,1.75,2.23,5.44,3.16,1.83,,,,,
July,4.4,2.3,6.1,1.1,3.15,1.4,3.95,,,,2.75,2.56,2.33,4.94,2.46,8.37,6.47,2.86,1.09,2.66,2.81,0.94,2.67,,2.14,2.67,1.56,,4.39,5.62,4.77,0.93,4.6,1.01,5.34,,,,,
August,0.75,6.1,1.35,3.1,1.1,2.41,2.02,,,,3.73,10.06,6.57,5.4,6.23,6.35,3.87,5.33,7.84,2.25,7.75,4.57,2.05,,3.7,3.23,6.7,,5.74,2.64,4.69,2.38,4.8,1.22,3.89,,,,,
September,4.2,1.8,3.1,3.2,3.25,3.76,5.85,,,,4.44,7.1,7.27,5.52,0.63,2.16,7.43,6.86,2.24,6.56,4.72,1.48,1.79,,1.27,3.29,1.52,,3.75,2.55,0.93,2.87,1.63,2.69,1.71,,,,,
October,1.4,1.9,2.5,4,3,3.6,4.97,,,,2.5,5.62,5.84,5.18,3.26,6.79,8.03,2.37,4.66,5.16,6.43,5.29,2.9,,2.61,2.84,6.59,,1.61,7.02,2.16,4.88,3.95,2.79,1.33,,,,,
November,4.6,5.65,4.5,4.7,4.25,1.32,4.25,,,,5.96,3.3,2.85,1.63,5.49,4.19,1.98,7.83,4.54,4.84,4.04,4.21,1.95,,3.79,3.58,3.22,,2.78,1.78,3.61,5.36,4.09,3.89,5.96,,,,,
December,3.9,3.3,3.45,4.15,3.9,1.5,3.69,,,,0.5,7.29,2.49,3.64,4.57,4.26,4.12,6.19,5.82,3.27,6.67,3.95,2.74,,3.61,2.57,3.51,,2.92,7.33,3.81,6.61,6.09,2.47,5.64,,,,,
Total,29.85,33.35,37.15,32.06,30.05,28.84,42.16,,,,,43.61,43.25,43.13,50.05,43.46,49.63,49.23,48.53,48.98,50.85,32.12,22.3,,33.27,33.93,39.77,,39.91,43.65,39.33,38.4,41.98,32.07,40.76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Jan/Feb estimated - gauge leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
