"BROMSGROVE, STOKE REFORMATORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO944672,Long,-2.083547,Lat,52.302891,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station No,RR1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,2.11,4.27,1.42,2.36,0.74,1.52,1.97,3.03,2.47,1.53,3.1,2.14,0.75,0.59,2.5,,,,,,,,,,3.05,1.08,0.78,1.79,2.27,0.77,3.54,0.83,,
February,,,,,,,2.61,1.67,1.3,2.34,2.76,3.1,2.46,2.7,1.29,2.71,0.87,0.57,0.55,1.54,0.49,,,,,,,,,,3.63,1.05,1.46,1.23,2.86,0.5,1.51,0.64,,
March,,,,,,,2.23,2.13,0.63,0.42,1.25,1.6,1.46,0.87,2.13,0.91,2.13,1.2,2.21,2.49,1.04,,,,,,,,,,0.79,1.14,1.36,3.63,1.03,3.38,0.82,0.63,,
April,,,,,,,2.69,2.79,2.54,2.19,1.15,0.93,3.96,0.82,1.33,2.06,1.63,1.17,1.18,3.52,0.81,,,,,,,,,,1.22,1.85,2.24,1.34,1.24,1.88,1.09,2.02,,
May,,,,,,,0.62,1.9,5.96,2.13,1.64,1.57,1.76,0.92,0.87,2.93,5.92,1.37,0.78,2.94,1.79,,,,,,,,,,1.75,1.23,2.66,3.76,4.01,0.4,2.08,,,
June,,,,,,,1.32,1,2.72,4.24,2.42,2.09,3.95,2.39,2.38,3.43,1.23,1.27,2.41,1.06,1.93,,,,,,,,,,2.02,1.92,2.48,1.64,0.61,2.35,3.07,,,
July,,,,,,,1.36,4.43,0.55,3,5.38,1.66,3.2,2.94,2.34,0.1,2.67,1.12,4.13,1.09,1.78,,,,,,,,,,2.25,1.47,1.21,2.76,2.49,0.92,0.8,,,
August,,,,,,,2.8,4.84,7.88,6.07,0.49,5.42,2.23,0.92,1.67,2.79,1.84,1.45,2.34,3.01,2.35,,,,,,,,,,3.07,2.1,4.37,3.61,1.62,5.13,0.96,,,
September,,,,,,,4.81,2.03,2.63,3.4,4.01,1.7,2.53,5.07,1.57,3.83,2.16,1.79,0.8,1.88,1.17,,,,,,,,,,0.61,1.12,0.65,2.96,1.96,0.81,0.95,,,
October,,,,,,,2.26,1.94,3.36,0.94,4.15,1.87,5.48,2.37,0.9,3.69,3.49,1.97,0.48,2.08,1.16,,,,,,,,,,2.93,1.01,2.11,6.19,0.6,1.14,4.34,,,
November,,,,,,,3.17,2.8,3.04,0.61,1.69,2.55,3.34,4.26,1.89,3.85,2.06,1.75,4.43,0.93,2.41,,,,,,,,,,2.04,0.67,2.13,1.6,0.99,2.29,2.33,,,
December,,,,,,,5.61,1.46,2.05,0.01,2.59,2.46,2.71,0.56,1.69,0.72,3.69,1.54,1.95,1.62,0.69,,,,,,,,,,4.34,3.73,1.36,1.2,1.75,0.65,1.75,,,
Total,,,,,,,31.59,31.26,34.08,27.71,28.27,26.47,35.05,26.85,20.53,28.55,30.79,17.34,22.01,22.75,18.12,,,,,,,,,,27.7,18.37,22.81,31.71,21.43,20.22,23.24,,,
