SPALDING PODE HOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF213220,Long,-0.202991,Lat,52.78196,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.21,3.25,2,1.25,1.25,2.25,2,1.25,3.6,1.8,1.5,2,3.75,4.8,1.7,1.5,1.75,2.4,1.4,1.4,1.75,1.63,1.88,3.13,1.75,2.63,1,3,4.13,0.25,0.75,2.63,1,1.63,2.25,0.75,2.63,1.63,4,2.13,2.13,1.38,1.13,2.75,1.5,1,2.13,2.5,2.88,1.5,1.25,0.25,0.75,1.5,1.75,1.5,1.25,2.75,2.25,0.63,1.5,1.88,1.5,1.25,1.75,1.63,2.63,1,1.38,1,2.38,3.37,1,0.88,1.88,2,1.25,3.12,1,0.59,0.55,1.66,1.24,2.8,2.4,1.45,2.02,0.86,2.15,2.24,3.12,1.76,1.85,2.75,1.42,2.22,1.04,3.15,1.61,2.85,1.66,2.13,2.17,0.81,1.25,1.34,2.16,3.03,3.2,2.36,4.58,2.07,2.78,2.38,3.83,1.76,2.19,1.09,1.86,3.75,1.26,0.85,2.4,1.63,1,1.69,2.44,4.89,1.1,2.43,2.94,3.66
February,2.13,4.6,3,0.1,5.15,0.5,1.75,2.6,1.75,1.75,1.4,1,1.5,1.5,2.5,2.3,0.75,0.3,1.2,3.25,1.2,0.87,0.5,0.62,3,0.5,2.25,1.25,0.37,0.63,1.25,1.13,2,0.62,0.38,1.75,2.12,2.38,1.25,1.37,2.37,1.75,1.62,1.75,1.38,1.75,1.5,2.13,1.5,1.13,1.87,1.75,3,0.75,2.88,0.75,1.75,0.13,0.88,2.12,1.5,1.12,0,2.25,2.25,1.37,0.62,0.75,3.12,0.5,1.25,5.25,1.25,1.5,0.75,2.75,0.75,2,1.25,1.04,0.18,2.38,0.77,1.15,0.57,0.82,2.07,3.54,0.71,1.25,2.58,0.78,0.53,2.64,3.28,0.93,1.95,1.54,2.11,1.06,0.97,0.62,2.69,0.88,2.33,0.76,1.71,2.22,2.91,1.3,0.64,2.5,2.52,1.43,0.28,1.81,1.64,2.5,1.83,0.91,0.69,3.04,3.09,0.44,1.88,2.29,3.04,1.05,2.65,3.31,0.17,2.65
March,0.28,0.44,1.62,2.8,2.06,0.5,2.5,3.25,0.5,1.1,3.7,0.75,1.2,1.6,1.25,2,3.5,0.4,0.72,3.3,0.75,0.5,3,0.63,1.63,0.62,1,0.38,1.75,1.12,1.13,1.87,2,3.63,1,2.63,1.63,1.12,1.75,1.63,2.88,1.12,1.13,2.13,1.25,0.63,0.5,2,1.37,0.62,0.5,0.88,1.63,1.88,1.25,0.88,0.63,2.5,0.62,2,2,2.63,1.25,1.13,0.37,0.5,2,2,2.13,1.5,0.5,0.63,1.5,1.25,2.75,2.25,1.88,2.25,1.25,1.96,3.05,0.72,1.48,1.98,2.91,2.58,1.44,3.97,1.12,0.6,3.04,2.23,0.73,1.83,1.93,0.6,1.18,0.36,2.29,1.75,0.19,1.64,0.4,1.74,2.26,1.41,0.47,0.96,3.15,0.27,1.81,1.65,3.58,1.35,0.58,0.19,0.58,1.07,4.23,0.49,0.85,0.62,3.35,2.77,0.87,1.66,1.99,0.87,1.95,1.71,2.66,1.01
April,4.87,2.75,2.3,2.5,3,1,1.5,2,1.7,1.4,1,0.75,1.2,0.6,2.3,0.25,1.5,4.75,0.75,2.75,2.5,1.38,1.5,0.37,1.5,0.75,0.25,1.25,2.25,1.5,2.5,0.75,0.88,1.62,0.87,1.12,0.62,1.37,1.75,1.75,2.87,0.75,2.75,3,0.62,0.75,0.87,6.38,3.38,1.5,2.25,2.5,1,2.5,1.87,1.25,1.37,1.37,1.25,2.25,2.63,0.87,1.25,1.12,0.13,1.25,1.75,0.88,1.37,2.25,2,1,1.75,1.5,2,0.88,2,0.75,2,2.14,1.14,2.22,0.88,0.16,2.09,0.99,0.51,0.91,1.37,1.67,2.39,3.73,1.13,2.57,1.16,1.52,1.82,2.09,1.71,1.03,0.9,2.33,2.27,2.64,1.14,2.06,2.55,2.04,2.6,0.17,2.3,1.01,0.93,0.75,1.07,1.83,0.84,1.16,1.92,1.15,1.98,2.18,2.23,1.42,1.65,0.27,1.05,1.33,0.29,0.87,1.27,0.46
May,0.2,4.7,1.25,3.1,0.82,0.5,2.2,0.15,1.25,1.7,0.8,2.25,1.5,2.75,5.6,0.25,2.7,1.4,5,0.5,2.88,1.37,0.5,0.88,1,1.5,2.13,1.62,0.75,1.38,2,3.38,1.5,2.38,1.88,1.75,2.25,1.38,3.5,0.5,4.63,0.75,0.87,1.75,2.25,1,1.25,0.75,2,3.75,3.13,1.5,0.5,1.87,2.25,1.12,2.13,4.13,1.75,0.75,5.5,2.25,2.63,2.13,1,1.5,0.75,0.75,0.88,2.75,2.5,1.75,1,3.13,2.75,2.62,0.87,1.62,2.75,1.31,1.05,2.8,0.51,2.23,1.82,1.2,1.75,1.91,1.13,3.01,0.51,1.98,1.16,1.14,1.13,3.24,3.11,2.59,1.1,1.51,1.06,2.68,2.36,3.77,1.43,0.54,0.59,1.51,4.75,2.1,0.78,0.9,2.94,2.52,2.05,0.99,1.49,1.56,0.47,2.67,2.24,2.85,3.17,3.07,2.71,3.86,3.02,1.07,1.57,2.4,0.71,0.78
June,4.12,4.63,3.1,3.1,3.12,0.9,1.6,2.7,1.75,3.25,5,1.5,3,3.6,1.8,1.5,2.25,0.6,2.5,4,2.37,0.63,2.25,3.62,3,1.25,1.37,1.25,1.38,0.75,2,5.37,5.62,2.25,3.87,1.63,2.38,4,0.88,0.5,1.63,1.37,3.5,2.75,2.63,0.62,4,2.5,0.87,1.5,3,5.5,1.75,2.63,2.63,0.63,2.25,1.25,0.63,2,0.37,2.25,1.37,2.37,1.25,2.25,2.13,2,2.25,1.13,0.87,2.25,0.25,3.13,1.5,0.5,3.75,2.63,1.5,1.14,3.45,1.07,2.1,3.02,1.56,3.02,0.77,2.56,1.79,0.55,1.04,2.37,0.45,0.84,0.57,2.04,0.12,2.88,3.42,4.08,1.22,0.54,1.57,0.57,1.62,1.04,2.44,3.55,1.54,0.99,1.69,0.79,0.73,0.92,2.29,2.75,2.46,2.33,2.3,3.04,0.52,1.72,0.74,0.95,3.43,2.78,2.32,2.45,2.18,3.79,0.58,1.09
July,3.78,3.2,4.9,2.3,0.3,6.25,1.4,1.25,2.1,2.1,4.5,3.3,3,2.3,3,3.7,2.4,1.75,0.5,2.9,3.5,4.75,5.25,2.25,3.37,1.63,5.13,1.13,1.87,2.12,1.75,1.25,4.5,2.37,0.63,0.62,3.62,3,1.75,0.37,0.5,0.89,4.13,3.5,2.75,1.05,9,1,2.63,0.38,3.87,6.75,3,2.75,4.75,2.75,0.25,4,1,4.5,2.75,2.25,2.5,2.38,3,4,2.5,1.13,2.12,0.88,1.5,0.87,4.75,1.37,2.5,2.38,2.75,0.75,1.74,2.29,3.38,2.5,0.24,4.98,0.82,1.25,4.92,2,1.2,2.96,2.87,3.14,0.44,5.47,2.15,2.95,1.77,1.32,2.21,2.24,1.94,2.95,4.08,4.09,0.7,1.91,0.6,5.07,3.3,2.15,3.14,3.61,5.63,2.23,0.99,2.24,1.73,2.14,2.08,1.06,2.34,2.69,1.23,0.25,1.96,2.61,0.34,2.29,2.64,3.73,2.27,2.73
August,4.37,2.13,4.1,4.25,3.5,2.1,1.2,1.3,2.2,2,3,2.25,3.75,2.9,4.5,2.5,4.8,2.9,3.4,3.8,0.88,1.62,1.87,5.38,2.75,1.37,1.12,4.87,6,2.5,2.87,4,0.25,2.13,3.12,0.88,4.88,3.37,2.25,3.75,1.75,1.25,2.25,3,2.25,1.5,1.13,1.37,3,6.75,2.63,2.62,5,3.12,0.75,1.12,2.25,2.5,0.87,2,2.75,1.63,3.5,2,1,1.63,2,1.37,3.5,3.37,1.5,4.88,2,2.88,4.5,3.25,3.13,2.75,2.69,1.95,1.89,3.04,1.46,5.55,1.53,1.53,3.45,3.42,4.29,2.77,2.43,1.07,1.97,1.96,2.13,1.98,2.44,0.89,2.96,2.06,1.38,2.33,2.63,2.84,0.56,2.04,1.58,0.84,0.41,1.32,2.49,0.49,3.94,2.52,2.37,2.7,3.21,3.31,0.05,2.28,1.17,2.4,3.65,2.65,3.56,3.34,0.88,3.79,2.42,4.27,0.95,2.94
September,3.45,4.79,4.25,0.37,1.2,1.25,3.4,2.3,2.25,2.1,2.25,1.8,2.8,5.65,0.25,2,1.75,3.1,1.6,4.5,3.87,2.37,1.25,4.37,1.38,1.5,0.25,1.5,2.88,1.38,3.25,3,1.88,3.62,2.63,1.75,0.37,3.63,1.37,2.25,2.87,0.5,4.75,1.5,1.75,2.37,2.25,4.5,1.75,1.12,3,5.88,1.87,2.63,6.25,2.25,3.12,0.75,1.75,1.13,2.25,0.25,1.13,2.25,1.25,1.25,0.62,4.75,3.13,0.37,3,0.37,1,1.75,3.12,2,2.75,1.25,0.77,1.72,1.8,1.22,1.7,1.08,1.52,0.65,0.87,1.35,1.05,4.53,1.68,2.31,0.67,1.99,2.11,1.9,2.7,2.49,4.12,0.47,0.81,3.89,4.06,3.2,2.43,1.17,2.64,1.5,1.59,1.89,1.35,0.62,0.94,1.48,1.93,3.8,1.4,2.19,1.18,2.14,1.3,2.17,1.24,2.61,1.1,2.24,0.99,1.47,3.9,2.06,0.34,2.68
October,1.62,0.63,2.9,3.1,2.1,1,4.25,2.75,2.2,1.5,2.4,1.9,3,0.9,4.1,2.5,1.4,4.75,3.8,5.5,3,2.38,2.13,2.75,3.62,1.88,4.25,3,4.12,3.25,3.75,1.87,1.37,2,2.5,1.37,5.75,1.75,2,2.88,0.75,2.87,1.12,4,1.62,2.05,3.87,1.12,1.25,1.88,0.75,5.75,3,5,2.12,1.38,4.63,4.25,1.63,0.08,3,0.87,4.62,4,2.13,2.63,2.38,3.62,1.25,2.75,2.13,2.13,1.75,2,6.25,0.87,1.37,3.75,2.83,1,3.39,1.42,2.02,1.75,3,1.98,1.28,1.69,3.22,1.84,1.45,1.76,1.32,1.34,2.66,4.65,2.61,2.2,2.17,3.41,2.59,1.04,0.71,2.79,2.81,0.93,2.5,1.44,2.17,1.54,4.25,2.66,2.68,2.28,1.08,2.26,1.99,2.42,0.21,2.21,3.71,0.67,1.02,2.56,2.19,2.35,1.5,1.08,1.06,2.65,1.03,4.58
