SPRINKLING TARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY227091 ,Long,-3.194278,Lat,54.471354,Elevation,1986,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,11.73,,-999,13.62,10.04,17.35,,,28.83,,13.56,18.86,,-999,-999,-999,,1,,,18.14,9,-999,7.1,-999,12.4,-999,9.2,17.05,-999,-999,-999,10,-999,20.5,-999,-999,-999,-999,20.3,18.55,8.25,21.35,7.4,20,10,-999,-999,,12.96,13.26,15.9,33,-999,15.45,-999,24,26,-999,17,13,10.5,20,,,,24,15.5,36,18.75,28.5,15.25,12,24,24.5,17.5,2.8,4.5,8.5,25,32.75,13.5,26.5,18,22.75,24.5,18,22.25,15,18,15.5,18,10.75,27,,12,16
February,,,,,-999,11.59,-999,10.4,13.86,7.83,,,16.36,,,,,-999,-999,-999,17.4,,24.5,12.25,-999,24.55,-999,-999,-999,-999,-999,0.25,-999,-999,-999,-999,10.25,-999,-999,-999,-999,-999,-999,23.25,-999,8.55,-999,7.9,-999,10,-999,-999,,10.5,22.26,21.1,14.55,-999,-999,-999,15,1.45,-999,17.3,3.5,14.45,23.4,,,,2.25,16,0,15,4.25,34,9,20.05,7.25,22.5,9,18.5,4,15.75,8,19,13.5,2.75,12.75,19,21,20.5,6.25,12.25,10,4.1,4.75,11.25,,9,16
March,,,,,-999,6.72,18.45,3.7,18.98,-999,10.9,,13.25,,,,5.25,-999,-999,-999,6.9,,15.3,,-999,6.73,-999,-999,-999,-999,-999,-999,-999,-999,8.74,-999,11.25,-999,-999,6.7,-999,-999,7.3,27.2,-999,16.9,-999,11.95,-999,4,-999,6.3,,14.8,12.85,8.9,-999,-999,-999,-999,18,21,-999,5.2,4,5,5.18,,,,9.85,2.5,10.2,11.5,9.5,5.5,10,5.5,14,11,17,5.75,9,7,3.25,15,13.75,13,18.25,9.75,16.5,17,11.5,4.25,29,6.75,6.75,12.5,,12,5
April,,,,,-999,3.39,3.58,14.44,9.14,-999,,7.34,7.05,,,,,2.8,-999,7,7.1,15.7,9.83,3.4,6.1,12,-999,10.2,19.35,5.45,5.3,-999,-999,1.3,5.9,10,5.35,-999,15.8,14.3,8.3,-999,6,4.3,15.1,14.9,3.8,8.3,2.15,6.4,5.1,12,,12.83,5.35,9.7,-999,-999,2.6,-999,20,2.8,-999,10,7.5,15,7.32,,8.64,,5.04,7.8,11.5,6.75,8,10,3,10.5,2.5,8,5.75,7.75,8.25,10.5,7.75,4.5,6.25,16,7.25,26.5,16.5,12,11.25,12,6,10.25,4.25,6.8,,10.5,12
May,,,,,4.52,16.32,5.95,5.18,6.45,3.34,15.07,,4.64,,,8.35,2.25,8.56,10.75,6.63,7,13.5,8.4,8.1,14.62,6.35,6.95,4,4.3,7.07,7.4,4.9,15.2,6.5,8.5,0.9,0.65,5.8,6.35,8.75,8.65,3.9,6,9.2,9.5,10.75,21.35,11.5,8.85,6,5.6,9.5,,9.53,7.25,1.35,12.5,6.85,4.5,4,17.25,9.2,10,9,14,19,8.46,,1.5,9.65,5.6,8.4,10.25,5.5,14,2.25,2.25,3.75,13.25,2.05,2.5,11,11,12,10.25,15.25,3.5,6,8.5,8.25,4.75,3.75,10.5,6.5,7.5,13,14.5,7.5,,2.75,8.5
June,,,,,11.45,1.12,8.11,4.42,4.26,5.28,4.57,,11.47,,1.85,11.85,8.15,8,5,13,12.25,15.7,14.5,8.2,1.9,7.5,5.4,2,3.9,1.71,19.5,4.15,8.33,5.95,10.2,3.45,6.2,9.4,9.95,2.55,10,8.4,2.4,3.6,4.25,7.4,4.2,24.5,9.4,3,3,12.2,,13.9,3.55,3.4,8.25,7.4,-999,9,10.5,0.9,11,7.3,12.1,1,10.01,,17.2,8.95,7.05,13.95,7,5.25,8.75,10.25,10,12.5,15.5,14,2,1.5,3.5,9.5,17.75,14.25,20.5,9.25,19.25,4,16.5,5.75,12.25,7.75,19.5,13.75,6.25,6.75,,10,7
July,,,,,9.41,8.15,10.22,12.08,3.6,8.98,2.97,,7.77,,8.75,,6.53,14.12,2.4,14.35,12.55,11.2,22.75,6.75,10.9,14.4,9.15,10.5,42.8,14.95,16.45,5.1,7.2,12.05,7.95,11.55,14.72,7.15,4.7,10.25,5.55,3.2,9.8,14.6,7.6,8.9,10.45,7.1,8.5,11.5,13,3.5,,2.15,7.5,14,8.05,5,-999,5,15,6.8,14,11.8,12.95,5.7,9.71,,21.9,16.5,7.6,22.75,15,13.5,7.75,10.5,18.75,12,25.5,20.75,15,5.75,16,10,7.25,10,15,11.5,15.75,10.75,13.25,21.25,13.5,28.5,21.75,7.25,20.5,15,12,15,16
August,,,,,12.2,13.36,14.32,14.49,14.46,4.49,2.87,,12.12,,,14.3,7.8,12.3,7.5,15.1,5.79,16.26,9,16.33,3.6,9.2,12.6,4.34,10.7,10.85,16.8,23.1,21,14.05,15.05,18.1,10.35,18.1,18.85,3.7,15.15,14.25,10.25,22.2,10.9,13.75,15.7,18.65,13.55,5.1,20.1,10.05,,9,14,4.74,8.77,24.45,13.2,9.5,12.7,23.25,14,21,16.1,15.55,10.92,,18.95,23.95,21.76,9.75,7.5,8.25,23.25,12,6.5,7.5,10.15,5,10.75,19.5,17.25,28.5,16.75,4,17,0,18.5,11.25,26.75,18.25,23,13.5,19.5,6.75,22.75,14.5,12,2.05,7
September,,,,,17.82,9.12,19.8,14.44,5.27,20.42,11.25,,25.47,,15.61,7.14,12.35,4.36,14,19.4,12.3,7.25,8.73,15.2,14.5,17.75,13,11,5.65,8.4,14.4,32.8,24.15,11.35,0.23,5.1,19,12,11.25,11.25,12.9,11.05,5.95,13.2,10,11.35,5.2,2.85,16.9,4.1,2.1,9.93,,5.15,6.65,3.25,8.5,11.8,26.6,19.45,14,4,11,13,23.5,11.1,12.1,,13.95,4.78,10.1,9.65,20.5,2.25,20,20.5,18.25,14.75,11.75,6.5,17.25,4.25,25.5,19.25,17.25,16,31,16,26.25,7.75,44.25,27.25,13.75,34.5,30.25,12.75,9.25,17.5,12.5,3.5,9
October,,,,,6.62,12.6,8.53,12.94,15.26,9.45,24,,18,12.42,,9.51,7.1,17.5,8,8.4,,,10.5,14,8.65,,16.3,9.3,19.15,16.5,11.75,15.75,14.15,23.3,16,-999,8.1,8.35,10.6,13.05,13.55,17.8,11.35,27.6,12.55,14.4,16.95,18.45,6.2,15,6,14.2,,9,3.95,4.15,-999,21.75,28,3,2.35,6.8,7.3,24.1,14.1,17.5,,,24.25,18.47,28.17,11.5,23.5,9.5,26,28,18.75,7.25,35,5,17.25,19,29.5,21.25,15.75,17.75,1.5,3,21.5,16,17.25,3.5,15,12.25,43,11.75,17,22,23,17,6
