ABERDARE NANTHIR RESERVOIR (monthly gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN989068,Long,-3.465951,Lat,51.75074,Elevation,860,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,4.92,3.43,1.1,1.61,6.78,10.03,10.23,7.38,7.5,5.41,2.92,2.72,,,,4.11,8.44,6.24,2.09,2.52,2.51,12.03,7.88,5.89,3.21,10.86,10.82,2.53,11.34,3.78,4.58,4.09
February,,,,,,,,,4.88,6.61,8.8,8.31,5.86,10.19,7.14,8.98,2.1,2.2,1.08,4.12,,,,9.5,6.79,0.15,1.8,4.49,4.02,8.01,8.87,2.04,2.73,6.63,8.01,2.19,5.74,3.53,4.38,0.91
March,,,,,,,,,3.08,2.8,3.69,6.21,4.15,2.38,5.5,2.3,8.98,2.99,5.79,3.73,,,,0.59,6.45,6.31,7.99,8.82,1.84,2.86,1.18,5.56,3.46,11.55,2.78,8.49,4.78,3.32,6.47,6.73
April,,,,,,,,,2.76,1.9,2.85,1.49,6.49,1.36,1.84,5.03,3.89,2.04,2.51,3.7,,,,0.24,3.09,3.5,1.32,4.83,3.62,6.59,2.58,6.04,3.16,2.38,3.72,6.5,1.22,3.98,3.34,5.32
May,,,,,,,,,8.51,3.52,3.02,3.54,3.6,2.74,3.6,3.95,5.34,3.01,3.32,3.39,,,,3.81,3.69,0.82,0.16,2.54,4.82,4.07,3.67,1.69,3.04,5,3.25,0.48,4.28,3.52,4.32,2.28
June,,,,,,,,,5.07,7.57,3.88,5.12,6.89,5.78,2.49,3.09,0.89,0.85,3.94,0.51,,,,2.01,2.84,1.25,1.83,2.68,2.93,1.69,3.78,2.79,3.92,1.49,2.25,3.69,2.29,5.78,1.04,4.36
July,,,,,,,,,1.44,5.86,8.54,2.45,8.78,5.36,4.99,1.52,5.08,2.69,8.68,4.17,,,,4.42,4.86,5.97,2.81,2.44,0.9,1.22,1.89,1.29,2.89,3.38,3.39,1.52,1.13,3.21,4.07,3.96
August,,,,,,,,,7.79,10.09,0.57,7.48,5.28,3.46,3.64,3.46,2.64,2.96,4.22,4.83,,,,4.18,4.46,7.1,3.18,9.16,5.13,2.9,5.11,3.96,2.64,8.24,5.58,7.29,4.52,5.14,9.96,1.97
September,,,,,,,,,4.32,6.44,3.98,2.69,3.76,6.25,3.44,8.94,5.04,5.68,1.47,2.02,,,,3.31,2.06,1.52,9.83,5.99,1.59,4.26,3.09,3.46,2.88,6.02,2.34,3.94,1.69,1.24,3.79,4.93
October,,,,,,,,,8.62,2.29,5.16,4.34,8.12,7.16,2.65,6.26,9.42,2.84,3.57,5.3,,,,5.85,9.04,4.25,7.85,3.77,8.1,4.35,9.26,3.24,4.83,17.38,2.81,3.54,9.68,8.59,3.96,14.02
November,,,,,,,,12.96,6.81,0.73,8.35,12.48,10.41,8.1,3.58,7.25,6.92,6.61,10.68,2.93,,,,4.45,10.91,12.1,2.03,6.12,6.38,6.98,5.7,3.76,5.52,3.64,5.45,6.27,5.72,3.82,4.59,2.62
December,,,,,,,,5.04,4.16,4.24,8.07,5.92,9.83,3.32,9.78,3.11,9.3,5.39,9.5,3.98,,,,9.81,5.86,5.76,10.76,15.09,11.94,4.26,11.65,8.96,6.2,5.83,5.56,2.29,4.22,9.38,6.59,11.13
Total,,,,,,,,,62.36,55.48,58.01,61.64,79.95,66.13,58.88,61.27,67.1,42.67,57.68,41.4,,,,52.28,68.49,54.97,51.65,68.45,53.78,59.22,64.66,48.68,44.48,82.4,55.96,48.73,56.61,55.29,57.09,62.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Feb 1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR May 1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
