STONETHWAITE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY262137,Long,-3.1406,Lat,54.5133,Elevation,330,ft,,,,,,,,,,,,
Station no,RR1396,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,5.67,7.86,20.02,5.2,25.85,24.56,23.99,,,,,,
February,,,,,,,,5.4,22.9,5.47,17.01,11.76,15.72,2.95,,,,,,
March,,,,,,,,2.35,8.86,3.41,3.42,7.42,0.81,3.45,,,,,,
April,,,,,,,,5.43,3.49,3.01,9.63,4.04,0.6,10.38,,,,,,
May,,,,,,,,7.67,3.03,4.24,5.89,3.67,8.64,0.69,,,,,,
June,,,,,,,,5.21,9.82,2.64,4.43,9.5,9.23,3.74,,,,,,
July,,,,,,,,2.35,14.34,11.18,9.45,13.5,4.6,13.68,,,,,,
August,,,,,,,,7.78,10.36,7.65,12.5,9.98,9.82,7.81,,,,,,
September,,,,,,,,10,4.88,3.63,4.46,3.81,4.23,7.33,,,,,,
October,,,,,,,,17.57,14.27,12.54,9.33,14.29,5.9,12.56,,,,,,
November,,,,,,,,20.83,11.38,14.2,16.94,2.68,16.72,8.12,,,,,,
December,,,,,,,,15.95,19.05,6.28,7.55,7.62,33.03,0.95,,,,,,
Total,,,,,,,,106.21,130.24,94.27,105.81,114.12,133.86,95.65,,,,,,
,,,,,,,,,,,,,,,,,,,,
on Miller's map No XX,,,,,,,,,,,,,,,,,,,,
NGR taken at centre of village on 1880s OS,,,,,,,,,,,,,,,,,,,,
